spectral_centroid_mean,spectral_centroid_std,centroid_range,std_increment,max_abs_increment,smoothness_ratio,residual_energy,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,spectral_rolloff_mean,spectral_rolloff_std,zcr_mean,zcr_std,speech_rate,zero_crossings_per_sec,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,filename,label,text
1921.377383292824,1350.444167642609,6024.411072887915,664.9103449360445,3567.016095479002,0.5788768266939417,1766081.9792182855,1561.191441198295,544.4455127843017,0.054175366,0.10953581,3379.368192427386,2176.2352536666594,0.2018308520811722,0.20497667444918025,4.7989623865110245,3237.3540856031127,-402.9977,83.82978,1.4918724,8.111137,10.699208,-2.4933565,-22.158695,-16.615108,-9.155104,-13.712851,-15.419187,0.31755286,-2.4590583,165.87239,85.09562,33.61507,35.395733,21.945288,20.508686,20.017384,18.794027,14.815633,14.829003,13.096141,11.935732,9.735428,anthem_01_rand_64kb_segment0.wav,Real,part one of anthem this is a LibriVox recording all LibriVox recordings are in the public domain for more information not a volunteer please visit librivox.org recording by Phil cheneviere Anthem by Ayn Rand part 1 it is a sin to write this it is a sin to think words no others think and to put them down upon a paper no others are to
1830.4432507757135,1242.1529857525852,5356.434225679953,643.4589527243437,3529.611523298271,0.5825402007963384,1522476.402527507,1583.658314183101,442.673880175254,0.022714024,0.03948465,3181.2925070356473,1972.8780390472016,0.1503567293034709,0.14188836423077156,5.074801994719858,2408.91757113523,-357.1434,78.49623,1.7070539,11.450785,14.536872,-8.760626,-19.784771,-18.475834,-8.380998,-13.409996,-18.336452,0.7240245,-4.155827,139.07521,77.98659,36.232937,32.2054,22.40118,21.021317,19.35568,17.181208,15.027092,12.372114,11.857084,12.738087,10.8307295,anthem_01_rand_64kb_segment1.wav,Real,well that there is no transgression blacker than to do or think alone we have broken the laws the laws say that men may not write unless the council of vocations beat them so may We Be Forgiven but this is not the only sin upon us we have committed a greater crime and for this crime there is no name
1770.191968092639,1205.521581586994,5473.218864335286,608.9275150598254,2959.5212946877755,0.5796480320865649,1445720.0038049158,1573.7268598090852,465.468200206994,0.03046554,0.05278072,3115.3469363521217,1997.797388966132,0.15436552505541482,0.14054975793172536,5.324623911322249,2472.4069675376086,-359.84808,85.56912,2.8667815,8.036584,11.63901,-8.588565,-21.077902,-16.314596,-10.441793,-12.507106,-17.52101,-2.160207,-0.64030796,144.34975,76.689804,33.27028,35.30276,24.175089,18.832806,17.937183,16.50724,15.23226,12.241213,11.787959,12.64345,9.893168,anthem_01_rand_64kb_segment2.wav,Real,what punishment awaits are separate be discovered we know not for no such crime has come in the memory of men and there are no laws to provide for it it is dark here the flame of the candle stands still in the air nothing moves in this tunnel save our hand on the paper we are alone here under the earth it is a fearful word alone the laws say that known among men may be alone ever and at any time for this is the great transgression and The Root of All Evil but we have broken many laws and now there is nothing here save our one body and it is strange to see only two legs stretched on the ground and on the wall before us the Shadow of our one
1983.314021361528,1306.0800030843125,5455.632672500792,697.9558031172903,3359.874649077634,0.6096443592530675,1694747.243111635,1619.1406559406853,498.08793182209763,0.036302544,0.054820877,3504.212161144578,2129.6775586399444,0.17623202772025603,0.14569429278564258,5.415587473510714,2825.78290558041,-365.20587,76.08229,1.9767483,6.7017927,11.660512,-3.4441764,-24.63042,-17.656696,-8.332419,-13.402455,-15.75305,-0.09206583,-0.4976354,150.19815,82.555214,36.470367,36.7657,22.460793,17.774872,17.387877,17.259882,14.81851,12.15754,11.391934,12.008538,9.434006,anthem_01_rand_64kb_segment3.wav,Real,the walls are cracked and water runs upon them and thin threads without sound black and glistening his blood we stole the candle from the Lord of the home of the street sweepers we shall be sentenced to 10 years in the palace of corrective detention if it be discovered but this matters not it matters only that the light is precious and we should not waste it to write when we need it for that work which is our crime nothing matters save the work our secret are evil are precious work still we must also write for May the council have mercy on
1967.6244093052815,1364.5488394512633,5664.986227261175,683.4333104677058,3328.4754202389636,0.588239061765412,1847196.0590415346,1563.784033120682,519.7411653316266,0.033231385,0.053133406,3473.728120579915,2151.961264194087,0.16736444152227722,0.15435735855385505,5.594869526758072,2682.8394515701016,-355.21198,74.09968,-1.6875778,13.489297,7.4711466,-2.667113,-26.1419,-17.620903,-9.175582,-16.207747,-15.448717,-2.6216583,-0.1872482,142.05266,83.37865,35.80931,35.920647,22.477884,17.240322,18.454273,17.970428,14.909522,13.499837,11.548061,13.986009,9.56412,anthem_01_rand_64kb_segment4.wav,Real,we wish to speak for once to no ears but our own our name is equality 7521 as it is written on the ion bracelet which all men wear when they're left wrists with their names upon it we are 21 years old we are 6 ft tall and this is a burden for there are not many men who are 6 feet tall ever have the teachers and the leaders pointed to us and frowned and said there is evil in your bones equality 7521 for your body has grown beyond the bodies of your brother's but we cannot change our bones nor our body
1839.056973000686,1273.6305971700483,5432.437228431334,640.9733896843977,3184.021379206576,0.5848652483676974,1570400.0640248135,1569.3676768152966,500.16978349300626,0.02978169,0.047394153,3266.3172468354433,2083.841016351823,0.15239721370648734,0.14276798126432919,4.907004352987733,2441.669964384646,-381.6442,78.10616,3.4519336,11.000178,7.1979837,-2.5896258,-22.113325,-15.513687,-10.24101,-14.339661,-16.965559,-2.7133386,-0.9627737,155.44257,80.40888,35.74336,35.738785,23.45858,18.100653,19.232525,17.411297,14.370116,12.793243,11.450688,11.874182,9.761709,anthem_01_rand_64kb_segment5.wav,Real,we were born with a Curse it has always driven us to thoughts which are forbidden it is always giving us wishes which men may not wish we know that we are evil and there is no will in US and no power to resist it this is our Wonder and our secret fear that we know and do not resist we strive to be like all our brother men for all men must be alike over the portals of the palace of the world Council there are words cut in the marble which we repeat to ourselves whenever we are tempted we are one in all and all in one there are no men but only the great we won indivisible end for
1897.7842125896962,1273.0782455979077,5263.182602202465,701.0960411364873,3128.066190208045,0.5942207987030528,1617811.9827133266,1621.237522074227,505.11366892066445,0.033556912,0.052843124,3360.8143472906404,2140.7398141776866,0.1634044027093596,0.14102165537113054,5.5127810286418235,2622.143517092701,-375.82513,80.70286,3.5263374,2.9838934,11.646117,-2.680468,-21.231827,-19.036306,-8.968581,-14.855058,-17.347267,-1.6427848,-1.4100871,145.79872,82.23589,34.469902,34.628788,24.821747,19.42788,19.398312,18.209557,14.875656,13.892027,12.126456,11.345774,10.023102,anthem_01_rand_64kb_segment6.wav,Real,we repeat this to ourselves but it helps us not these words were cut long ago there was green mould in the grooves of the letters and yellow streaks on the marble which comes from more years than men could count and these words are the truth for their written on the palace of the world council and the world Council is the body of all Truth thus has it been ever since the great rebirth and for their back than that no memory can reach
2026.0163813979989,1359.8568259272379,5323.709449216576,735.8791211358048,3263.978617503858,0.6133034044444307,1823784.6283502644,1660.3809454397158,460.7196329096017,0.03521165,0.056312155,3546.8298083875634,2150.383318971495,0.17685808139009399,0.1558094810822869,4.9287813701107845,2834.9310422789963,-354.25403,70.563324,7.4722667,9.415318,9.961332,-3.704109,-17.644726,-17.09846,-8.747363,-12.825942,-18.568007,-3.78619,-4.197602,145.09506,82.41934,35.801594,33.696747,23.106709,20.994926,18.761238,17.373943,15.324575,12.636405,12.125354,12.268688,10.280426,anthem_01_rand_64kb_segment7.wav,Real,but we must never speak of the times before the great rebirth elsewhere sentence to 3 years in the palace of corrected detention it is only the old ones who whisper about it in the evenings in the home of the useless they whisper many strange things of the Towers which rose to the sky and those unmentionable times and of the wagons which moved without horses and of the lights which burned without flame but those times were evil and those times passed away when men saw the great truth which is this that all men are one and that there is no will save the will of all men
1964.4435233337426,1305.6872921617255,5590.173920978777,614.302345697454,3980.5063341884897,0.5895891753799186,1678605.2428982207,1597.0453433374987,440.99961838846446,0.030517396,0.046946637,3378.3160971223024,2002.040150991518,0.17345626846736897,0.1531263558669,4.918032786885246,2780.520732883317,-366.88593,72.965485,-1.4233837,7.720119,11.513822,-6.2279835,-18.276943,-14.416913,-9.379486,-11.074553,-15.660983,-2.6385472,-1.9966854,150.03264,80.99616,34.362442,39.101322,21.467089,18.24858,17.070091,18.443352,15.097007,12.194869,11.392512,12.268725,10.869968,anthem_01_rand_64kb_segment8.wav,Real,it is only we equality 7521 we alone who were born with a Curse for we are not like our brothers and as we look back upon our life we see that it has ever been thus and that it has brought us step-by-step to our last supreme transgression are crime of crimes hidden here under the
1919.4189159956993,1322.2992358888923,5608.160657870341,698.4356549285129,3705.9320807837757,0.5964952189843289,1747825.3732565127,1609.5922347462997,481.48015316229294,0.031687282,0.055279694,3394.146728515625,2116.468547065764,0.1696765899658203,0.15872474789238686,4.86195944295138,2719.130222330809,-358.59027,79.54042,4.093531,9.071255,10.021701,-4.1145124,-19.804571,-17.963257,-10.244072,-12.2748995,-18.951159,-5.5382705,-2.2743044,146.35843,80.82487,35.25046,37.493004,24.115156,19.222456,18.655672,17.64676,15.660725,12.116889,11.883946,11.7028265,9.92648,anthem_01_rand_64kb_segment9.wav,Real,we remember the home of the infants where we lived until we were 5 years old together with all the children of the city who had been born in the same year the sleeping holes there were white and clean and bearable things say 100 bands we were just like all our Brothers then save for the one transgression we fought with our Brothers there are few offences blacker than to fight with our Brothers at any age in for any cause whatsoever the council of the home told us so end of all the children of that year we were locked in the cellar most
